순번,단지명,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,관할조직명,설립구분,생산품,주원자재
1,대구제3일반산업단지, 김용대,대구광역시 북구 팔달북로 7 (노원동3가),대구광역시 북구 노원동3가 726,비주거용 건물 임대업,대구제3산업단지관리공단,일반산업단지, ,
2,군위효령농공단지, 형신정보통신주식회사,"대구광역시 군위군 효령면 효령공단길 12-9, 102호",대구광역시 군위군 효령면 거매리 487-9 102호,방송장비 제조업 외 1 종,대구광역시 군위군,농공단지,CCTV,"렌즈, IP모듈, 하우징외"
3,성서지방산업단지,( 주)명장,"대구광역시 달서구 호산동로7길 42, (3차단지 95B 1-7L) (호림동)",대구광역시 달서구 호림동 2-18번지,그 외 자동차용 신품 부품 제조업 외 4 종,대구성서산업단지관리공단,일반산업단지,"실린더, 댐퍼",
4,서대구일반산업단지,(SM)컨설팅,"대구광역시 서구 와룡로 307, 1층 104호(중리동) 1층 104호",대구광역시 서구 중리동 1166-1 1층 104호 1층 104호,비주거용 건물 임대업,서대구산업단지관리공단,일반산업단지,경영 컨설팅,
5,대구제3일반산업단지,(사)한국장애인문화협회,대구광역시 북구 노원로1길 160 (노원동3가),대구광역시 북구 노원동3가 39번지,문구용 종이제품 제조업 외 3 종,대구제3산업단지관리공단,일반산업단지,"스케치북, 수첩 등",지류
6,달성2차일반산업단지,(사)한국지체장애인협회 달성군장애인재활자립작업장,대구광역시 달성군 구지면 달성2차로 221,대구광역시 달성군 구지면 예현리 757-12 달성군장애인재활자립작업장,장식용 목제품 제조업 외 4 종,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,쓰레기종량제봉투 외,폴리에틸렌
7,성서5차첨단산업단지,(유)대구특수금속,"대구광역시 달성군 다사읍 세천로3길 69, 성서5차첨단산업단지 6B 4L",대구광역시 달성군 다사읍 세천리 1670-4번지 성서5차첨단산업단지 6B 4L,주형 및 금형 제조업,대구성서산업단지관리공단,일반산업단지,자동차상업인쇄,
8,성서지방산업단지,(유)대구특수금속,"대구광역시 달서구 성서공단북로69길 39, 1차단지 35B 7L 1차단지 35B 7L (갈산동)",대구광역시 달서구 갈산동 100-62번지 1차단지 35B 7L,그 외 자동차용 신품 부품 제조업 외 7 종,대구성서산업단지관리공단,일반산업단지,"자동차부품, 명판,라벨류","알루미늄,폴리에스터 필름"
9,대구염색일반산업단지,(유)대안에이엔씨,"대구광역시 서구 염색공단로21길 8, (유)대안에이엔씨 (비산동)",대구광역시 서구 비산동 3194-6번지 (유)대안에이엔씨,날염 가공업,대구염색산업단지관리공단,일반산업단지,나염,
10,성서지방산업단지,(유)시브코리아,"대구광역시 달서구 성서서로25안길 40, 2차단지 8B 2L (갈산동)",대구광역시 달서구 갈산동 358-57번지 2차단지 8B 2L,모터사이클 제조업 외 2 종,대구성서산업단지관리공단,일반산업단지,모터사이클,
11,대구제3일반산업단지,(유)케이엠에스,대구광역시 북구 노원로 157 (노원동3가),대구광역시 북구 노원동3가 31-8,비동력식 수공구 제조업,대구제3산업단지관리공단,일반산업단지,"툴홀더, 보링바",금속
12,서대구일반산업단지,(자)구진기업,"대구광역시 서구 와룡로87길 8-1 (이현동, 구진기업)",대구광역시 서구 이현동 42-430번지,도금업,서대구산업단지관리공단,일반산업단지,"시계,휴대폰 도금",도금
13,성서지방산업단지,(재)FITI시험연구원 대구지원,"대구광역시 달서구 성서로 329,(갈산동) 동원비즈플랫폼 1동 6층 601호 외 4필지",대구광역시 달서구 갈산동 100-32 동원비즈플랫폼 1동 6층 601호 외 4필지,"물리, 화학 및 생물학 연구개발업",대구성서산업단지관리공단,일반산업단지,섬유 연구개발,
14,성서지방산업단지,(재)대구기계부품연구원,"대구광역시 달서구 성서공단로35길 35, 2차단지 10B 7L (갈산동)",대구광역시 달서구 갈산동 358-110번지 2차단지 10B 7L,주형 및 금형 제조업,대구성서산업단지관리공단,일반산업단지,주형 금형,
15,대구국가산업단지,(재)대구기계부품연구원,대구광역시 달성군 구지면 국가산단대로52길 24-49,대구광역시 달성군 구지면 응암리 1268-10,기타 공학 연구개발업,한국산업단지공단 대구지역본부 달성사무소,국가산업단지,연구개발,
16,성서지방산업단지,(재)대구테크노파크F&B,"대구광역시 달서구 성서공단로 46-17 (대천동, 지식산업센터)",대구광역시 달서구 대천동 891-5번지,건강보조용 액화식품 제조업 외 2 종,대구성서산업단지관리공단,일반산업단지,건강음료,"물,과즙"
17,성서지방산업단지,(재)우리환경연구소,"대구광역시 달서구 달서대로109길 20, 3층 308 (신당동) 3층 308호",대구광역시 달서구 신당동 1320-1번지 3층 308 3층 308호,물질성분 검사 및 분석업,대구성서산업단지관리공단,일반산업단지,토양오염도 검사 등,
18,성서지방산업단지,(재)우리환경연구소,"대구광역시 달서구 달서대로109길 20, (신당동) A동 3F층 A302호",대구광역시 달서구 신당동 1320-1 A동 3F층 A302호,물질성분 검사 및 분석업,대구성서산업단지관리공단,일반산업단지,"토양오염도조사, 토양정밀조사, 토양정화검증",
19,성서지방산업단지,(재)장애인기업종합지원센터,"대구광역시 달서구 달서대로 559, 1동 8층 809.810 (신당동, 이앤씨이노비즈타워)",대구광역시 달서구 신당동 1320-2번지 이앤씨이노비즈타워 1동 8층 809.810,응용 소프트웨어 개발 및 공급업,대구성서산업단지관리공단,일반산업단지,프로그램,
20,대구연구개발특구,(주) 씨에스텍,대구광역시 동구 매여로 62(율암동),대구광역시 동구 율암동 1103-13,전동기 및 발전기 제조업 외 3 종,(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,국가산업단지,"태양광발전장치, 에너지저장장치, 아크차단기","다이오드, 차단기, 전선 등"
21,대구염색일반산업단지,(주) 이 주,"대구광역시 서구 염색공단중앙로21길 33 (비산동, 이주염공)",대구광역시 서구 비산동 3169-5번지,"직물, 편조원단 및 의복류 염색 가공업",대구염색산업단지관리공단,일반산업단지,의류용심지,"염료,원단"
22,대구연구개발특구,(주) 제이디자인웍스,대구광역시 동구 율암로 149-22 (상매동),대구광역시 동구 상매동 517-4번지,기타 엔지니어링 서비스업,(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,국가산업단지,의료기기 디자인 및 설계서비스,0
23,대구연구개발특구,(주) 태양인덕션히터,대구광역시 동구 율암로 149-50 (상매동),대구광역시 동구 상매동 515-8번지,"산업용 오븐, 노 및 노용 버너 제조업",(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,국가산업단지,고주파유도가열기,FET등 전자부품
24,대구연구개발특구,(주) 튜링겐코리아,대구광역시 동구 율암로 79 (율암동),대구광역시 동구 율암동 1144-1번지,화장품 제조업 외 2 종,(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,국가산업단지,기능성화장품,식물성 추출물
25,성서지방산업단지,(주)AL네트웍스,"대구광역시 달서구 성서공단북로43길 23, 1차 67B 7L (신당동)",대구광역시 달서구 신당동 357-6 1차 67B 7L,반려동물용 사료 제조업 외 2 종,대구성서산업단지관리공단,일반산업단지,"애견사료, 애견사료, 간식 펫밀크, 간식 펫밀크",돼지고기 원물
26,성서지방산업단지,(주)AVACO,"대구광역시 달서구 성서공단로 21, (3차단지 108B 15L) (호림동)",대구광역시 달서구 호림동 5-9번지,디스플레이 제조용 기계 제조업,대구성서산업단지관리공단,일반산업단지,디스플레이용기계,스텐
27,성서지방산업단지,(주)AVACO,"대구광역시 달서구 성서4차첨단로 160-7, (4차단지 11B 1L) (월암동)",대구광역시 달서구 월암동 1107번지 (4차단지 11B 1L),디스플레이 제조용 기계 제조업,대구성서산업단지관리공단,일반산업단지,디스플레이제조용기계,스텐
28,성서지방산업단지,(주)AVATEC,"대구광역시 달서구 달서대로85길 100, (3차단지 96B 1-1L) (호림동)",대구광역시 달서구 호림동 3번지 (3차단지 96B 1-1L),액정 표시장치 제조업 외 2 종,대구성서산업단지관리공단,일반산업단지,"평판디스플레이,판유리가공품",
29,성서지방산업단지,(주)DAS,"대구광역시 달서구 성서공단로 21, (3차단지 108B 15L) (호림동)",대구광역시 달서구 호림동 5-9번지 (3차단지 108B 15L),디스플레이 제조용 기계 제조업,대구성서산업단지관리공단,일반산업단지,평판디스플레이장비,
30,대구연구개발특구,(주)E.O.S,대구광역시 동구 율암로 188 (상매동),대구광역시 동구 상매동 503번지,광학렌즈 및 광학요소 제조업,(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,국가산업단지,소프트 콘텍트렌즈,2-HEMA
31,성서지방산업단지,(주)EV첨단소재,"대구광역시 달서구 성서로35길 26, (2차단지 23-1B 3L) (월암동)",대구광역시 달서구 월암동 1-202번지 (2차단지 23-1B 3L),인쇄회로기판용 적층판 제조업 외 4 종,대구성서산업단지관리공단,일반산업단지,"FPCB, 투명LED DISPLAY",CCL
32,서대구일반산업단지,(주)GS텍스타일,대구광역시 서구 중리동 1076-18번지,대구광역시 서구 중리동 1076-18번지,면직물 직조업 외 1 종,서대구산업단지관리공단,일반산업단지,면직물,원사 등
33,성서지방산업단지,(주)K.E,"대구광역시 달서구 성서공단북로 15, (3차단지 61B 2-1L) (파호동)",대구광역시 달서구 파호동 91-33번지 (3차단지 61B 2-1L),주형 및 금형 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,주형및금형,
34,성서지방산업단지,(주)LJ테크,"대구광역시 달서구 성서4차첨단로 62, 4차단지 7B 6L (대천동)",대구광역시 달서구 대천동 1026-1번지 4차단지 7B 6L,이동전화기 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,"스마트폰부품,자동차센서부품",
35,성서5차첨단산업단지,(주)S-Tech,"대구광역시 달성군 다사읍 세천로3길 33, 성서5차첨단산업단지 13B 6L.7L",대구광역시 달성군 다사읍 세천리 1673-6번지 성서5차첨단산업단지 13B 6L.7L,그 외 기타 특수목적용 기계 제조업 외 2 종,대구성서산업단지관리공단,일반산업단지,"태양광 반도체 장비,평면연삭기, 잉곳 완제품 장비 생산","스테인리스,철강재"
36,성서지방산업단지,(주)SJ테크,"대구광역시 달서구 성서4차첨단로 62, 4차단지 7B 6L (대천동)",대구광역시 달서구 대천동 1026-1번지 4차단지 7B 6L,이동전화기 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,"휴대폰부품,자동차센서부품",
37,대구국가산업단지,(주)SJ테크,대구광역시 달성군 구지면 국가산단대로39길 159,대구광역시 달성군 구지면 창리 1363,그 외 자동차용 신품 부품 제조업 외 4 종,한국산업단지공단 대구지역본부 달성사무소,국가산업단지,"자동차전장, 엔진, 파워트레인부품","알루미늄, 마그네슘, 아연"
38,대구경북경제자유구역수성의료지구,(주)YH데이타베이스 ,"대구광역시 수성구 알파시티1로 170, B7-8 (대흥동)",대구광역시 수성구 대흥동 387번지 B7-8,응용 소프트웨어 개발 및 공급업,대구경북경제자유구역청,일반산업단지,응용소프트웨어개발 ,
39,달성2차일반산업단지,(주)가경이앤씨,대구광역시 달성군 구지면 달성2차동1로 195,대구광역시 달성군 구지면 예현리 757-5,구조용 금속 판제품 및 공작물 제조업 외 4 종,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,"금속제패널,금속울타리,차양,주방가구 및 신발장, 장롱 및 수납가구 외","알루미늄시트,알루미늄복합패널,아연도강판,전기아연도강판,스텐파이프,파티클보드,스테인리스,합판,인조대리석 외"
40,달성2차일반산업단지,(주)가경이앤씨,"대구광역시 달성군 구지면 달성2차로 173, (15B 1L)",대구광역시 달성군 구지면 예현리 759번지 (15B 1L),주방용 전기기기 제조업 외 3 종,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,"주방가구 및 신발장, 장롱 및 수납가구 외","파티클보드, MDF, 스텐볼, 인조대리석"
41,성서지방산업단지,(주)가나공업,"대구광역시 달서구 달서대로88길 8-12, 2차단지 17B 2-4L (갈산동)",대구광역시 달서구 갈산동 358-138번지,자동차 차체용 신품 부품 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,BALL JOINT CAP류,
42,대구국가산업단지,(주)가나이엔지,대구광역시 달성군 구지면 국가산단서로71길 73,대구광역시 달성군 구지면 수리리 1301-8번지,가정용 및 산업용 공기 조화장치 제조업 외 3 종,한국산업단지공단 대구지역본부 달성사무소,국가산업단지,공기순환기,금속제판
43,서대구일반산업단지,(주)가넷덴텍,"대구광역시 서구 와룡로 307, 4층 414호(중리동) 4층 414호",대구광역시 서구 중리동 1166-1 4층 414호 4층 414호,그 외 기타 의료용 기기 제조업,서대구산업단지관리공단,일반산업단지,치과교정용 브라켓,세라믹
44,성서지방산업단지,(주)가람,"대구광역시 달서구 성서공단로51길 41, (1차단지 106B 1-11L) (장동)",대구광역시 달서구 장동 404-35번지 (1차단지 106B 1-11L),위생용 및 산업용 도자기 제조업,대구성서산업단지관리공단,일반산업단지,"정밀요업(자동차부품,절삭공구 외)","페라이트,알루미나"
45,성서지방산업단지,(주)가람기계,"대구광역시 달서구 성서로52길 14, 1차단지 106B 1-15L (장동)",대구광역시 달서구 장동 404-6번지 1차단지 106B 1-15L,건설 및 채광용 기계장비 제조업,대구성서산업단지관리공단,일반산업단지,굴삭기부품,
46,성서5차첨단산업단지,(주)가람기계,"대구광역시 달성군 다사읍 세천로7길 47, (5차단지 8B 1-1L)",대구광역시 달성군 다사읍 세천리 1668-8 (5차단지 8B 1-1L),건설 및 채광용 기계장비 제조업,대구성서산업단지관리공단,일반산업단지,굴삭기 전용 부품,"STEEL, PIPE, H-BEAM형강"
47,서대구일반산업단지,(주)가람엔지니어링,"대구광역시 서구 와룡로 307, 6층 606호(중리동) 6층 606호",대구광역시 서구 중리동 1166-1 6층 606호 6층 606호,건물 및 토목 엔지니어링 서비스업,서대구산업단지관리공단,일반산업단지,토목엔지니어링,
48,북구검단일반산업단지,(주)가람테크,대구광역시 북구 검단북로 80-9 (검단동),대구광역시 북구 검단동 887-91,그 외 금속 압형제품 제조업,대구시티밸리산업단지관리공단,일반산업단지,금속단조 및 부분품,철판
49,서대구일반산업단지,(주)가베,대구광역시 서구 장산로 224 (중리동) 외 1필지,대구광역시 서구 중리동 1019번지 외 1필지,제책업 외 3 종,서대구산업단지관리공단,일반산업단지,"교구,완구",
50,서대구일반산업단지,(주)가베 제2공장,대구광역시 서구 와룡로73길 33 (중리동),대구광역시 서구 중리동 1040,제책업 외 4 종,서대구산업단지관리공단,일반산업단지,"교육용 교구, 교재, 서적, 완구",교구 재료
51,서대구일반산업단지,(주)가베 제3물류동,대구광역시 서구 국채보상로20길 35 (중리동),대구광역시 서구 중리동 1076-7번지,"장난감 및 취미, 오락용품 도매업 외 3 종",서대구산업단지관리공단,일반산업단지,"교구,완구",
52,서대구일반산업단지,(주)가베펫,"대구광역시 서구 와룡로73길 33, 2층 (중리동)",대구광역시 서구 중리동 1040 2층,포장 및 충전업,서대구산업단지관리공단,일반산업단지,포장박스 패키지 제작,
53,달성2차일반산업단지,(주)가야외장,대구광역시 달성군 구지면 달성2차동1로 173,대구광역시 달성군 구지면 예현리 757-1,구조용 금속 판제품 및 공작물 제조업 외 3 종,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,"금속제패널,차양, 공기순환기","알루미늄복합패널,알루미늄시트,아연도강판,EGI,SUS등, 모터,플라스틱,철판 등"
54,성서지방산업단지,(주)가온테크,"대구광역시 달서구 호산로 81, 3차단지 62-1B 14L (파호동)",대구광역시 달서구 파호동 93-17번지,산업처리공정 제어장비 제조업,대구성서산업단지관리공단,일반산업단지,자동화기계,
55,성서지방산업단지,(주)가온테크 성서,대구광역시 달서구 성서공단북로59길 22-6 (갈산동) 1차단지  42B 1-8L,대구광역시 달서구 갈산동 100-166 1차단지  42B 1-8L,산업처리공정 제어장비 제조업,대구성서산업단지관리공단,일반산업단지,산업기계,철재류
56,서대구일반산업단지,(주)가온텍,대구광역시 서구 문화로3길 8 (이현동),대구광역시 서구 이현동 42-284번지,그 외 자동차용 신품 부품 제조업 외 3 종,서대구산업단지관리공단,일반산업단지,진동융착지그,"알루미늄,철"
57,대구연구개발특구,(주)가우스,대구광역시 달성군 현풍면 테크노대로2길 25,대구광역시 달성군 현풍면 중리 510-5번지,그 외 기타 전자부품 제조업 외 2 종,(재)연구개발특구진흥재단 대구연구개발특구본부 기획경영팀,국가산업단지,산업용 기계 등,
58,대구제3일반산업단지,(주)가을이엔지,대구광역시 북구 3공단로27길 21-1 (노원동3가),대구광역시 북구 노원동3가 187-2번지,육상 금속 골조 구조재 제조업 외 1 종,대구제3산업단지관리공단,일반산업단지,"판금,제관,용접",철판
59,성서지방산업단지,(주)가창레이져,"대구광역시 달서구 성서서로47길 26, 1차 66B 11L (신당동)",대구광역시 달서구 신당동 354-7 1차 66B 11L,절삭가공 및 유사처리업,대구성서산업단지관리공단,일반산업단지,레이져가공,"철,스텐"
60,대구옥포농공단지,(주)갈모,대구광역시 달성군 논공읍 농공공단1길 7,대구광역시 달성군 논공읍 금포리 946번지,그 외 기타 달리 분류되지 않은 제품 제조업,대구광역시 달성군,농공단지,"우산,양산",
61,달성일반산업단지,(주)감미,대구광역시 달성군 논공읍 논공중앙로 367,대구광역시 달성군 논공읍 본리리 29-29,김치류 제조업 외 1 종,달성1차산업단지관리공단,일반산업단지,김치류,농산물
62,대구국가산업단지,(주)갑을화스너,대구광역시 달성군 구지면 국가산단서로71길 102,대구광역시 달성군 구지면 수리리 1303-3,그 외 기타 분류 안된 금속 가공 제품 제조업,한국산업단지공단 대구지역본부 달성사무소,국가산업단지,"타카핀, STAPLE",wire&wire band
63,성서지방산업단지,(주)강원포장,"대구광역시 달서구 성서로 18-34, 2차단지 63B 10L (대천동)",대구광역시 달서구 대천동 749번지,골판지 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,골판지상자,
64,성서지방산업단지,(주)거산글로벌,"대구광역시 달서구 달서대로64길 123, (2차 45B 6L) (월암동)",대구광역시 달서구 월암동 912-5 (2차 45B 6L),연사 및 가공사 제조업,대구성서산업단지관리공단,일반산업단지,Covering/Aty 신제조 및 스포츠웨어 원단 미싱,"원사 폴리, 나일론"
65,성서지방산업단지,(주)거산전자,"대구광역시 달서구 성서공단로 332-7, (2차단지 34B 1-7L)(월성동)",대구광역시 달서구 월성동 1788-14 (2차단지 34B 1-7L),그 외 기타 의료용 기기 제조업,대구성서산업단지관리공단,일반산업단지,치과기공용 핸드피스 콘트롤러,"PWB, PCB, TRANS, SWITCH"
66,대구국가산업단지,(주)거양금속,대구광역시 달성군 구지면 화산리 1113-8번지 외 2필지,대구광역시 달성군 구지면 화산리 1113-8번지 외 2필지,자동차용 신품 동력전달장치 제조업,한국산업단지공단 대구지역본부 달성사무소,국가산업단지,"디프기어, 스타트모터 등",환봉
67,북구검단일반산업단지,(주)거진지관,대구광역시 북구 검단로31길 43 (검단동),대구광역시 북구 검단동 838-26번지,기타 종이 상자 및 용기 제조업,대구시티밸리산업단지관리공단,일반산업단지,"섬유사 봉(판지), 골판지",판지
68,서대구일반산업단지,(주)건강나눔,"대구광역시 서구 와룡로 307, 디센터 723호 (중리동)",대구광역시 서구 중리동 1166-1 디센터 723호,비디오 및 기타 영상기기 제조업 외 4 종,서대구산업단지관리공단,일반산업단지,"소프트웨어 개발및공급, 키오스크 제작","기판, 생체인식,지문인식,바코더리더기,카드리더기, 산업용PC, 모니터, 스피커"
69,서대구일반산업단지,(주)건우공간정보,"대구광역시 서구 와룡로 307, 6층 612호(중리동) 6층 612호",대구광역시 서구 중리동 1166-1 6층 612호 6층 612호,건물 및 토목 엔지니어링 서비스업,서대구산업단지관리공단,일반산업단지,토목엔지니어링,
70,대구국가산업단지,(주)건우기계,대구광역시 달성군 구지면 국가산단서로71길 114,대구광역시 달성군 구지면 수리리 1303-6번지,금속 성형기계 제조업,한국산업단지공단 대구지역본부 달성사무소,국가산업단지,"철근절단기, 철근절곡기","형강, 철판, 모터"
71,대구출판산업단지,(주)걸리버,대구광역시 달서구 장동 869-1번지,대구광역시 달서구 장동 869-1번지,기타 인쇄업 외 1 종,대구성서산업단지관리공단,일반산업단지,"카다록, 전단",
72,서대구일반산업단지,(주)경구정보통신,대구광역시 서구 와룡로69길 60(중리동),대구광역시 서구 중리동 1022-3,일반 통신 공사업,서대구산업단지관리공단,일반산업단지,cctv 및 주차시스템 설치,
73,대구국가산업단지,(주)경남금형,대구광역시 달성군 구지면 국가산단서로71길 145,대구광역시 달성군 구지면 수리리 1301번지,주형 및 금형 제조업,한국산업단지공단 대구지역본부 달성사무소,국가산업단지,알미늄압출 금형,SKD61종
74,성서지방산업단지,(주)경농,"대구광역시 달서구 달서대로58길 15, (2차단지 56B 1L) (대천동)",대구광역시 달서구 대천동 693번지 (2차단지 56B 1L),화학 살균.살충제 및 농업용 약제 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,"농약, 에틸렌발생제","숯, 에틸렌, 증량제"
75,성서5차첨단산업단지,(주)경동,"대구광역시 달성군 다사읍 세천로3길 19, 성서5차산업단지내 13B 9L (총 2 필지)",대구광역시 달성군 다사읍 세천리 1673-10번지,금속 절삭기계 제조업,대구성서산업단지관리공단,일반산업단지,밴딩소잉머신,철
76,성서지방산업단지,(주)경동기계,"대구광역시 달서구 달서대로64길 115, 2차단지 45B 5L (월암동)",대구광역시 달서구 월암동 912-4번지,금속 절삭기계 제조업,대구성서산업단지관리공단,일반산업단지,"통기계,공작기계","철재,주물"
77,서대구일반산업단지,(주)경동세라텍,대구광역시 서구 국채보상로14길 32 (중리동),대구광역시 서구 중리동 1058-5번지,위생용 및 산업용 도자기 제조업,서대구산업단지관리공단,일반산업단지,세라믹 제품,"알루미나,지르코니움"
78,성서지방산업단지,(주)경동엔지니어링,"대구광역시 달서구 성서공단북로3길 14, (3차단지 62B 7L) (파호동)",대구광역시 달서구 파호동 92-8 번지 (3차단지 62B 7L),"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",대구성서산업단지관리공단,일반산업단지,부직포기계,
79,성서지방산업단지,(주)경동이앤에스,"대구광역시 달서구 달서대로109안길 16, 1층 101호 (신당동) 1층 101호 외 1필지",대구광역시 달서구 신당동 1320-39 1층 101호 1층 101호 외 1필지,교통 신호장치 제조업,대구성서산업단지관리공단,일반산업단지,교통신호장치,플라스틱
80,서대구일반산업단지,(주)경민기공,대구광역시 서구 국채보상로5길 24 (이현동),대구광역시 서구 이현동 45-185번지,금속 절삭기계 제조업,서대구산업단지관리공단,일반산업단지,드릴링 머신,"주물, 철"
81,성서지방산업단지,(주)경보시스템,대구광역시 달서구 성서로75길 13 (이곡동),대구광역시 달서구 이곡동 918-22번지,"전기회로 개폐, 보호장치 제조업 외 1 종",대구성서산업단지관리공단,일반산업단지,자동점멸기 가로등주,
82,서대구일반산업단지,(주)경북기공사,대구광역시 서구 문화로 21 (이현동),대구광역시 서구 이현동 42-239번지,자동차 종합 수리업,서대구산업단지관리공단,일반산업단지,자동차 정비,자동차부품
83,성서지방산업단지,(주)경북봉투사,"대구광역시 달서구 성서서로 43, (2차 51B 5L) (대천동)",대구광역시 달서구 대천동 627 (2차 51B 5L),문구용 종이제품 제조업,대구성서산업단지관리공단,일반산업단지,"인쇄제작물, 봉투","종이, 잉크"
84,성서지방산업단지,(주)경북합판,"대구광역시 달서구 성서공단로58길 41, 2차단지 31B 4L (월암동)",대구광역시 달서구 월암동 1087-11 번지 2차단지 31B 4L,"박판, 합판 및 유사 적층판 제조업",대구성서산업단지관리공단,일반산업단지,합판,
85,KCC울산일반산업단지,(주)경성화이켐,"대구광역시 달성군 현풍면 테크노중앙대로5길 15-9, 414B-3L",대구광역시 달성군 현풍면 중리 0-0번지,통신 재판매업 외 1 종,대구경북경제자유구역청,일반산업단지,무선통신소재부품,
86,성서지방산업단지,(주)경신텍스타일,"대구광역시 달서구 성서공단남로23길 14, (2차단지 23-4B 3L) (월암동)",대구광역시 달서구 월암동 1-80번지 (2차단지 23-4B 3L),섬유제품 기타 정리 및 마무리 가공업 외 1 종,대구성서산업단지관리공단,일반산업단지,화섬직텐타,화섬직
87,달성2차일반산업단지,(주)경안금속,대구광역시 달성군 구지면 내리 851번지 (달성2차 27B 1L),대구광역시 달성군 구지면 내리 851번지 (달성2차 27B 1L),그 외 자동차용 신품 부품 제조업 외 3 종,한국산업단지공단 대구지역본부 달성사무소,일반산업단지,시동모터 케이스,알루미늄
88,성서지방산업단지,(주)경양시스템,"대구광역시 달서구 성서동로53길 26, (1차단지 32B 27L) (장동)",대구광역시 달서구 장동 333-7 번지 (1차단지 32B 27L),그 외 기타 특수목적용 기계 제조업,대구성서산업단지관리공단,일반산업단지,자동차부품 자동화설비,
89,성서지방산업단지,(주)경원정공,"대구광역시 달서구 달서대로95길 102, (3차단지 77B12-1L) (호산동)",대구광역시 달서구 호산동 701-9번지 (3차단지 77B12-1L),그 외 기타 특수목적용 기계 제조업 외 1 종,대구성서산업단지관리공단,일반산업단지,자동차램프 금형,
90,성서지방산업단지,(주)경원정공,"대구광역시 달서구 달서대로95길 100, (호산동, 3차단지 77B 12-2L)(호산동)","대구광역시 달서구 호산동 701-13 (호산동, 3차단지 77B 12-2L)",주형 및 금형 제조업,대구성서산업단지관리공단,일반산업단지,금형,"몰드베이스, CORE"
91,성서지방산업단지,(주)경원정밀,"대구광역시 달서구 성서서로55길 10, 1차 56B 6L (신당동)",대구광역시 달서구 신당동 321-1 1차 56B 6L,자동차 재제조 부품 제조업,대구성서산업단지관리공단,일반산업단지,자동차 부품,철
92,북구검단일반산업단지,(주)경인산업,"대구광역시 북구 검단로31길 62, 15동 (검단동)",대구광역시 북구 검단동 711번지,그 외 기타 일반목적용 기계 제조업 외 1 종,대구시티밸리산업단지관리공단,일반산업단지,산업용기계,철판
93,대구제3일반산업단지,(주)경인스텐,대구광역시 북구 노원로25길 8 (노원동3가),대구광역시 북구 노원동3가 35-5번지,배전반 및 전기 자동제어반 제조업,대구제3산업단지관리공단,일반산업단지,전기배전반,스텐
94,서대구일반산업단지,(주)경일프로폰,대구광역시 서구 평리로21길 40 (중리동),대구광역시 서구 중리동 1054-10,일반용 도료 및 관련제품 제조업,서대구산업단지관리공단,일반산업단지,샷시,페인트
95,대구출판산업단지,(주)경진씨앤이,대구광역시 달서구 월성동 1795-11번지,대구광역시 달서구 월성동 1795-11번지,기타 인쇄업 외 1 종,대구성서산업단지관리공단,일반산업단지,"인쇄, 출판",
96,성서지방산업단지,(주)경진에스디에스,"대구광역시 달서구 달서대로91길 107, (3차단지 94B 4-2L) (호림동)",대구광역시 달서구 호림동 1-12번지 (3차단지 94B 4-2L),그 외 기타 전기장비 제조업,대구성서산업단지관리공단,일반산업단지,방화자동문장치,
97,서대구일반산업단지,(주)경훈,대구광역시 서구 와룡로90길 15 (이현동),대구광역시 서구 이현동 42-58번지,"직물, 편조원단 및 의복류 염색 가공업",서대구산업단지관리공단,일반산업단지,폴리에스터 원단 가공,폴리에스터 원단
98,성서지방산업단지,(주)경희강재,대구광역시 달서구 월암동 1080번지 2차단지 32B 1L,대구광역시 달서구 월암동 1080번지 2차단지 32B 1L,"플라스틱 선, 봉, 관 및 호스 제조업",대구성서산업단지관리공단,일반산업단지,"LPG 용기(형강, 철재)",H/CON
99,서대구일반산업단지,(주)계명자동차운전학원 서대구지점,대구광역시 서구 와룡로 490 (이현동),대구광역시 서구 이현동 42-39번지,운전학원,서대구산업단지관리공단,일반산업단지,자동차운전학원,
100,대구염색일반산업단지,(주)고려텍스,대구광역시 서구 염색공단중앙로22길 37 (비산동),대구광역시 서구 비산동 2006-62번지,"직물, 편조원단 및 의복류 염색 가공업",대구염색산업단지관리공단,일반산업단지,폴리에스텔 염색,
